sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
e61	pot	endo	VE.4	V	c	3	post-cotyl	tip	young	NA	tip
e62	pot	endo	VE.4	V	c	3	post-cotyl	tap1	young	NA	subtip (taproot)
e63	pot	endo	VE.4	V	c	3	post-cotyl	adjtip	young	NA	subtip (lateral)
e64	pot	endo	VE.4	V	c	3	post-cotyl	Lat1	young	NA	lateral1
e65	pot	endo	VE.4	V	c	3	post-cotyl	subcrown	young	NA	subcrown
e66	pot	endo	VE.4	V	c	3	post-cotyl	below_subcrown	young	NA	tap2
e67	pot	endo	VE.7	V	s	1	uni	tip	young	NA	tip
e68	pot	endo	VE.7	V	s	1	uni	tap1	young	NA	subtip (taproot)
e7	pot	endo	VE.1	V	c	1	cotyl	t1	young	NA	t1
e70	pot	endo	VE.7	V	s	1	uni	Lat1	young	NA	lateral1
e71	pot	endo	VE.7	V	s	1	uni	subcrown	young	NA	subcrown
e72	pot	endo	VE.7	V	s	1	uni	below_subcrown	young	NA	tap2
e73	pot	endo	VE.7	V	c	1	uni	tip	young	NA	tip
e74	pot	endo	VE.7	V	c	1	uni	tap1	young	NA	subtip (taproot)
e75	pot	endo	VE.7	V	c	1	uni	adjtip	young	NA	subtip (lateral)
e76	pot	endo	VE.7	V	c	1	uni	Lat1	young	NA	lateral1
e77	pot	endo	VE.7	V	c	1	uni	subcrown	young	NA	subcrown
e78	pot	endo	VE.7	V	c	1	uni	below_subcrown	young	NA	tap2
e79	pot	endo	VE.7	V	s	2	uni	tip	young	NA	tip
e8	pot	endo	VE.1	V	c	1	cotyl	t2	young	NA	t2
e80	pot	endo	VE.7	V	s	2	uni	tap1	young	NA	subtip (taproot)
e81	pot	endo	VE.7	V	s	2	uni	adjtip	young	NA	subtip (lateral)
e82	pot	endo	VE.7	V	s	2	uni	Lat1	young	NA	lateral1
e83	pot	endo	VE.7	V	s	2	uni	subcrown	young	NA	subcrown
e84	pot	endo	VE.7	V	s	2	uni	below_subcrown	young	NA	tap2
e85	pot	endo	VE.7	V	c	2	uni	tip	young	NA	tip
e86	pot	endo	VE.7	V	c	2	uni	tap1	young	NA	subtip (taproot)
e87	pot	endo	VE.7	V	c	2	uni	adjtip	young	NA	subtip (lateral)
e88	pot	endo	VE.7	V	c	2	uni	Lat1	young	NA	lateral1
e89	pot	endo	VE.7	V	c	2	uni	subcrown	young	NA	subcrown
e9	pot	endo	VE.1	V	c	1	cotyl	t3	young	NA	t3
e90	pot	endo	VE.7	V	c	2	uni	below_subcrown	young	NA	tap2
e91	pot	endo	VE.7	V	s	3	uni	tip	young	NA	tip
e92	pot	endo	VE.7	V	s	3	uni	tap1	young	NA	subtip (taproot)
e93	pot	endo	VE.7	V	s	3	uni	adjtip	young	NA	subtip (lateral)
e94	pot	endo	VE.7	V	s	3	uni	Lat1	young	NA	lateral1
e95	pot	endo	VE.7	V	s	3	uni	subcrown	young	NA	subcrown
e96	pot	endo	VE.7	V	s	3	uni	below_subcrown	young	NA	tap2
e97	pot	endo	VE.7	V	c	3	uni	tip	young	NA	tip
e98	pot	endo	VE.7	V	c	3	uni	tap1	young	NA	subtip (taproot)
e99	pot	endo	VE.7	V	c	3	uni	adjtip	young	NA	subtip (lateral)
Ca10	field	soil	R2	R	c	1	soil-adv_bloom	soil-10	NA	10	soil-10
Ca2	field	soil	R2	R	c	1	soil-adv_bloom	soil-2	NA	2	soil-2
Cb10	field	soil	R2	R	c	2	soil-adv_bloom	soil-10	NA	10	soil-10
Cb18	field	soil	R2	R	c	2	soil-adv_bloom	soil-18	NA	18	soil-18
Cb2	field	soil	R2	R	c	2	soil-adv_bloom	soil-2	NA	2	soil-2
Cc10	field	soil	R2	R	c	3	soil-adv_bloom	soil-10	NA	10	soil-10
Cc18	field	soil	R2	R	c	3	soil-adv_bloom	soil-18	NA	18	soil-18
Cc2	field	soil	R2	R	c	3	soil-adv_bloom	soil-2	NA	2	soil-2
Sa10	field	soil	R4	R	s	1	soil-pod	soil-10	NA	10	soil-10
Sa18	field	soil	R4	R	s	1	soil-pod	soil-18	NA	18	soil-18
Sa2	field	soil	R4	R	s	1	soil-pod	soil-2	NA	2	soil-2
Sb10	field	soil	R4	R	s	2	soil-pod	soil-10	NA	10	soil-10
Sb18	field	soil	R4	R	s	2	soil-pod	soil-18	NA	18	soil-18
Sb2	field	soil	R4	R	s	2	soil-pod	soil-2	NA	2	soil-2
Sc10	field	soil	R4	R	s	3	soil-pod	soil-10	NA	10	soil-10
Sc18	field	soil	R4	R	s	3	soil-pod	soil-18	NA	18	soil-18
Sc2	field	soil	R4	R	s	3	soil-pod	soil-2	NA	2	soil-2
R435	field	rhizo	V2	V	s	1	tri	tip	young	NA	tip
R436	field	rhizo	V2	V	s	1	tri	adjtip	young	NA	subtip (lateral)
R437	field	rhizo	V2	V	s	1	tri	nod	nod	NA	nodule
R438	field	rhizo	V2	V	s	1	tri	Lat1	woody	NA	lateral1
R439	field	rhizo	V2	V	s	1	tri	subcrown	woody	NA	subcrown
R440	field	rhizo	V2	V	s	1	tri	below_subcrown	woody	NA	tap2
R441	field	rhizo	V2	V	s	1	tri	tap4	woody	NA	tap7
R442	field	rhizo	V2	V	s	1	tri	tap5	woody	NA	tap13
R443	field	rhizo	V2	V	s	2	tri	tip	young	NA	tip
R444	field	rhizo	V2	V	s	2	tri	adjtip	young	NA	subtip (lateral)
R445	field	rhizo	V2	V	s	2	tri	nod	nod	NA	nodule
R446	field	rhizo	V2	V	s	2	tri	Lat1	woody	NA	lateral1
R447	field	rhizo	V2	V	s	2	tri	subcrown	woody	NA	subcrown
R448	field	rhizo	V2	V	s	2	tri	below_subcrown	woody	NA	tap2
R449	field	rhizo	V2	V	s	2	tri	tap4	woody	NA	tap7
R450	field	rhizo	V2	V	s	2	tri	tap5	woody	NA	tap13
R451	field	rhizo	V2	V	s	3	tri	tip	young	NA	tip
R452	field	rhizo	V2	V	s	3	tri	adjtip	young	NA	subtip (lateral)
R453	field	rhizo	V2	V	s	3	tri	nod	nod	NA	nodule
R454	field	rhizo	V2	V	s	3	tri	Lat1	woody	NA	lateral1
R455	field	rhizo	V2	V	s	3	tri	subcrown	woody	NA	subcrown
R456	field	rhizo	V2	V	s	3	tri	below_subcrown	woody	NA	tap2
R457	field	rhizo	V2	V	s	3	tri	tap4	woody	NA	tap7
R458	field	rhizo	V2	V	c	1	tri	tip	young	NA	tip
R459	field	rhizo	V2	V	c	1	tri	adjtip	young	NA	subtip (lateral)
R460	field	rhizo	V2	V	c	1	tri	nod	nod	NA	nodule
R461	field	rhizo	V2	V	c	1	tri	Lat1	woody	NA	lateral1
R462	field	rhizo	V2	V	c	1	tri	subcrown	woody	NA	subcrown
R463	field	rhizo	V2	V	c	1	tri	below_subcrown	woody	NA	tap2
R464	field	rhizo	V2	V	c	1	tri	tap4	woody	NA	tap7
R465	field	rhizo	V2	V	c	1	tri	tap5	woody	NA	tap13
R466	field	rhizo	V2	V	c	2	tri	tip	young	NA	tip
R467	field	rhizo	V2	V	c	2	tri	adjtip	young	NA	subtip (lateral)
R468	field	rhizo	V2	V	c	2	tri	nod	nod	NA	nodule
R469	field	rhizo	V2	V	c	2	tri	Lat1	woody	NA	lateral1
R470	field	rhizo	V2	V	c	2	tri	subcrown	woody	NA	subcrown
R471	field	rhizo	V2	V	c	2	tri	below_subcrown	woody	NA	tap2
R472	field	rhizo	V2	V	c	2	tri	tap4	woody	NA	tap7
R473	field	rhizo	V2	V	c	2	tri	tap5	woody	NA	tap13
R474	field	rhizo	V2	V	c	3	tri	tip	young	NA	tip
R476	field	rhizo	V2	V	c	3	tri	nod	nod	NA	nodule
R477	field	rhizo	V2	V	c	3	tri	Lat1	woody	NA	lateral1
R478	field	rhizo	V2	V	c	3	tri	subcrown	woody	NA	subcrown
R479	field	rhizo	V2	V	c	3	tri	below_subcrown	woody	NA	tap2
R480	field	rhizo	V2	V	c	3	tri	tap4	woody	NA	tap7
R481	field	rhizo	V2	V	c	3	tri	tap5	woody	NA	tap13
R482	field	rhizo	R4	R	s	1	pod	tip	young	NA	tip
R483	field	rhizo	R4	R	s	1	pod	adjtip	young	NA	subtip (lateral)
R484a	field	rhizo	R4	R	s	1	pod	ter	young	NA	tertiary
R485	field	rhizo	R4	R	s	1	pod	nod	nod	NA	nodule
R486	field	rhizo	R4	R	s	1	pod	Lat1	woody	NA	lateral1
R487	field	rhizo	R4	R	s	1	pod	Lat2	woody	NA	lateral7
R488	field	rhizo	R4	R	s	1	pod	Lat3	woody	NA	lateral13
R492	field	rhizo	R4	R	s	1	pod	subcrown	woody	NA	subcrown
R493	field	rhizo	R4	R	s	1	pod	below_subcrown	woody	NA	tap2
R494	field	rhizo	R4	R	s	1	pod	tap4	woody	NA	tap7
R495	field	rhizo	R4	R	s	1	pod	tap5	woody	NA	tap13
R496	field	rhizo	R4	R	s	1	pod	tap6	woody	NA	tap19
R497	field	rhizo	R4	R	s	2	pod	tip	young	NA	tip
R498	field	rhizo	R4	R	s	2	pod	adjtip	young	NA	subtip (lateral)
R499	field	rhizo	R4	R	s	2	pod	ter	young	NA	tertiary
R500	field	rhizo	R4	R	s	2	pod	nod	nod	NA	nodule
R501	field	rhizo	R4	R	s	2	pod	Lat1	woody	NA	lateral1
R502	field	rhizo	R4	R	s	2	pod	Lat2	woody	NA	lateral7
R503	field	rhizo	R4	R	s	2	pod	Lat3	woody	NA	lateral13
R507	field	rhizo	R4	R	s	2	pod	subcrown	woody	NA	subcrown
R508	field	rhizo	R4	R	s	2	pod	below_subcrown	woody	NA	tap2
R509	field	rhizo	R4	R	s	2	pod	tap4	woody	NA	tap7
R510	field	rhizo	R4	R	s	2	pod	tap5	woody	NA	tap13
R511	field	rhizo	R4	R	s	2	pod	tap6	woody	NA	tap19
R512	field	rhizo	R4	R	s	3	pod	tip	young	NA	tip
R513	field	rhizo	R4	R	s	3	pod	adjtip	young	NA	subtip (lateral)
R514	field	rhizo	R4	R	s	3	pod	ter	young	NA	tertiary
R515	field	rhizo	R4	R	s	3	pod	nod	nod	NA	nodule
R516	field	rhizo	R4	R	s	3	pod	Lat1	woody	NA	lateral1
R517	field	rhizo	R4	R	s	3	pod	Lat2	woody	NA	lateral7
R518	field	rhizo	R4	R	s	3	pod	Lat3	woody	NA	lateral13
R522	field	rhizo	R4	R	s	3	pod	subcrown	woody	NA	subcrown
R523	field	rhizo	R4	R	s	3	pod	below_subcrown	woody	NA	tap2
R524	field	rhizo	R4	R	s	3	pod	tap4	woody	NA	tap7
R525	field	rhizo	R4	R	s	3	pod	tap5	woody	NA	tap13
R526	field	rhizo	R4	R	s	3	pod	tap6	woody	NA	tap19
R527	field	rhizo	R2	R	c	1	adv_bloom	tip	young	NA	tip
R528	field	rhizo	R2	R	c	1	adv_bloom	adjtip	young	NA	subtip (lateral)
R529	field	rhizo	R2	R	c	1	adv_bloom	ter	young	NA	tertiary
R530	field	rhizo	R2	R	c	1	adv_bloom	nod	nod	NA	nodule
R531	field	rhizo	R2	R	c	1	adv_bloom	Lat1	woody	NA	lateral1
R532	field	rhizo	R2	R	c	1	adv_bloom	Lat2	woody	NA	lateral7
R533	field	rhizo	R2	R	c	1	adv_bloom	Lat3	woody	NA	lateral13
R537	field	rhizo	R2	R	c	1	adv_bloom	subcrown	woody	NA	subcrown
R538	field	rhizo	R2	R	c	1	adv_bloom	below_subcrown	woody	NA	tap2
R539	field	rhizo	R2	R	c	1	adv_bloom	tap4	woody	NA	tap7
R540	field	rhizo	R2	R	c	1	adv_bloom	tap5	woody	NA	tap13
R541	field	rhizo	R2	R	c	1	adv_bloom	tap6	woody	NA	tap19
R542	field	rhizo	R2	R	c	2	adv_bloom	tip	young	NA	tip
R543	field	rhizo	R2	R	c	2	adv_bloom	adjtip	young	NA	subtip (lateral)
R544	field	rhizo	R2	R	c	2	adv_bloom	ter	young	NA	tertiary
R545	field	rhizo	R2	R	c	2	adv_bloom	nod	nod	NA	nodule
R546	field	rhizo	R2	R	c	2	adv_bloom	Lat1	woody	NA	lateral1
R547	field	rhizo	R2	R	c	2	adv_bloom	Lat2	woody	NA	lateral7
R548	field	rhizo	R2	R	c	2	adv_bloom	Lat3	woody	NA	lateral13
R552	field	rhizo	R2	R	c	2	adv_bloom	subcrown	woody	NA	subcrown
R553	field	rhizo	R2	R	c	2	adv_bloom	below_subcrown	woody	NA	tap2
R554	field	rhizo	R2	R	c	2	adv_bloom	tap4	woody	NA	tap7
R555	field	rhizo	R2	R	c	2	adv_bloom	tap5	woody	NA	tap13
R556	field	rhizo	R2	R	c	2	adv_bloom	tap6	woody	NA	tap19
R559	field	rhizo	R2	R	c	3	adv_bloom	tip	young	NA	tip
R560	field	rhizo	R2	R	c	3	adv_bloom	adjtip	young	NA	subtip (lateral)
R561	field	rhizo	R2	R	c	3	adv_bloom	ter	young	NA	tertiary
R562	field	rhizo	R2	R	c	3	adv_bloom	nod	nod	NA	nodule
R563	field	rhizo	R2	R	c	3	adv_bloom	Lat1	woody	NA	lateral1
R564	field	rhizo	R2	R	c	3	adv_bloom	Lat2	woody	NA	lateral7
R565	field	rhizo	R2	R	c	3	adv_bloom	Lat3	woody	NA	lateral13
R569	field	rhizo	R2	R	c	3	adv_bloom	subcrown	woody	NA	subcrown
R570	field	rhizo	R2	R	c	3	adv_bloom	below_subcrown	woody	NA	tap2
R571	field	rhizo	R2	R	c	3	adv_bloom	tap4	woody	NA	tap7
R572	field	rhizo	R2	R	c	3	adv_bloom	tap5	woody	NA	tap13
R573	field	rhizo	R2	R	c	3	adv_bloom	tap6	woody	NA	tap19
