sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
R24	pot	rhizo	VE.1	V	s	3	cotyl	t3	young	NA	t3
R240	pot	rhizo	V5	V	c	3	tri	subcrown	woody	NA	subcrown
R241	pot	rhizo	V5	V	c	3	tri	below_subcrown	woody	NA	tap2
R242	pot	rhizo	V5	V	c	3	tri	nod	nod	NA	nodule
R243	pot	rhizo	R1	R	s	1	bloom	tip	young	NA	tip
R244	pot	rhizo	R1	R	s	1	bloom	tap1	young	NA	subtip (taproot)
R245	pot	rhizo	R1	R	s	1	bloom	adjtip	young	NA	subtip (lateral)
R246	pot	rhizo	R1	R	s	1	bloom	Lat1	woody	NA	lateral1
R247	pot	rhizo	R1	R	s	1	bloom	subcrown	woody	NA	subcrown
R248	pot	rhizo	R1	R	s	1	bloom	below_subcrown	woody	NA	tap2
R249	pot	rhizo	R1	R	s	1	bloom	nod	nod	NA	nodule
R25	pot	rhizo	VE.1	V	s	3	cotyl	t4	young	NA	t4
R250	pot	rhizo	R1	R	s	1	bloom	ter	young	NA	tertiary
R251	pot	rhizo	R1	R	s	2	bloom	tip	young	NA	tip
R252	pot	rhizo	R1	R	s	2	bloom	tap1	young	NA	subtip (taproot)
R253	pot	rhizo	R1	R	s	2	bloom	adjtip	young	NA	subtip (lateral)
R254	pot	rhizo	R1	R	s	2	bloom	Lat1	woody	NA	lateral1
R255	pot	rhizo	R1	R	s	2	bloom	subcrown	woody	NA	subcrown
R256	pot	rhizo	R1	R	s	2	bloom	below_subcrown	woody	NA	tap2
R257	pot	rhizo	R1	R	s	2	bloom	nod	nod	NA	nodule
R258	pot	rhizo	R1	R	s	2	bloom	ter	young	NA	tertiary
R259	pot	rhizo	R1	R	s	3	bloom	tip	young	NA	tip
R261	pot	rhizo	R1	R	s	3	bloom	adjtip	young	NA	subtip (lateral)
R262	pot	rhizo	R1	R	s	3	bloom	Lat1	woody	NA	lateral1
R263	pot	rhizo	R1	R	s	3	bloom	subcrown	woody	NA	subcrown
